"","time","biomass1","biomass2"
"1",0,124.920419366760,125
"2",1,107.982886177107,100.2488583
"3",2,106.750575640694,70
"4",3,103.606044437063,83.47079531
"5",4,99.1238575893914,100
"6",5,96.3861940314266,65.90786956
"7",6,98.3150130255077,66.53371457
"8",7,92.5901581867196,53.58808673
"9",8,86.0686648536233,61.33235104
"10",9,76.7847267080924,43.92743547
"11",10,84.8988083000326,40.29544843
"12",11,69.5937071411373,44.71345876
"13",12,73.4411617677139,32.53314287
"14",13,71.5517511064459,36.64033626
"15",14,68.7821295854237,40.15471123
"16",15,59.7274251643627,23.08029549
"17",16,57.3562179167703,39.86792844
"18",17,45.7106910706516,22.84978589
"19",18,43.9493865868303,35.01464535
"20",19,59.5388157010706,17.97726709
"21",20,39.4421043780478,21.1591801
"22",21,43.2532223509329,27.99827279
"23",22,23.4926368129169,21.88573499
"24",23,24.3414311095524,14.27396172
"25",24,18.7960288831736,13.66596918
"26",25,20.0023648549143,11.81643542
"27",26,13.2606485532293,25.18901636
"28",27,6.39636694722582,8.195643809
"29",28,9.020171261161,17.19133663
"30",29,3.98605813441265,24.28335424
"31",30,3.15415345991027,17.72277625
