"product","logdose","groupid","n","dead"
"A",0.1,1,18,0
"A",0.2,2,16,10
"A",0.3,3,21,4
"A",0.4,4,19,5
"A",0.5,5,16,5
"A",0.6,6,20,7
"A",0.7,7,21,8
"A",0.8,8,18,11
"A",0.9,9,22,11
"A",1,10,24,14
"A",1.1,11,17,11
"A",1.2,12,16,12
"A",1.3,13,21,18
"A",1.4,14,21,18
"A",1.5,15,15,15
"A",1.6,16,15,11
"A",1.7,17,16,15
"B",0.1,18,24,4
"B",0.2,19,22,8
"B",0.3,20,19,9
"B",0.4,21,15,10
"B",0.5,22,22,13
"B",0.6,23,17,4
"B",0.7,24,16,8
"B",0.8,25,22,9
"B",0.9,26,24,16
"B",1,27,16,11
"B",1.1,28,15,7
"B",1.2,29,21,16
"B",1.3,30,23,18
"B",1.4,31,18,16
"B",1.5,32,22,15
"B",1.6,33,16,15
"B",1.7,34,16,14
"C",0.1,35,18,3
"C",0.2,36,20,3
"C",0.3,37,24,2
"C",0.4,38,19,5
"C",0.5,39,15,3
"C",0.6,40,23,14
"C",0.7,41,22,5
"C",0.8,42,24,13
"C",0.9,43,15,7
"C",1,44,18,11
"C",1.1,45,23,21
"C",1.2,46,17,10
"C",1.3,47,24,19
"C",1.4,48,17,16
"C",1.5,49,24,22
"C",1.6,50,23,23
"C",1.7,51,24,24
