"","Id","Ag","logM"
"1",1,1,0.663
"2",1,2,0.693
"3",1,3,0.653
"4",1,4,0.969
"5",1,5,0.957
"6",2,1,0.577
"7",2,2,0.718
"8",2,3,0.417
"9",2,4,1.046
"10",2,5,1.691
"11",3,1,0.637
"12",3,2,0.298
"13",3,3,0.344
"14",3,4,0.666
"15",3,5,0.316
"16",4,1,0.238
"17",4,2,0.233
"18",4,3,0.521
"19",4,4,0.869
"20",4,5,1.237
"21",5,1,0.219
"22",5,2,0.438
"23",5,3,0.422
"24",5,4,0.662
"25",5,5,0.669
"26",6,1,-0.08
"27",6,2,0.2
"28",6,3,0.85
"29",6,4,0.81
"30",6,5,0.927
"31",7,1,-0.035
"32",7,2,0.134
"33",7,3,0.329
"34",7,4,1.06
"35",7,5,1.279
"36",8,1,0.608
"37",8,2,1.043
"38",8,3,0.772
"39",8,4,0.548
"40",8,5,0.303
"41",9,1,0.232
"42",9,2,-0.041
"43",9,3,0.344
"44",9,4,0.451
"45",9,5,1.266
"46",10,1,-0.439
"47",10,2,0.394
"48",10,3,0.746
"49",10,4,1
"50",10,5,1.011
"51",11,1,-0.493
"52",11,2,0.082
"53",11,3,0.389
"54",11,4,1.478
"55",11,5,1.669
"56",12,1,-0.813
"57",12,2,0.15
"58",12,3,0.455
"59",12,4,0.508
"60",12,5,0.932
"61",13,1,-0.242
"62",13,2,0.053
"63",13,3,0.539
"64",13,4,0.028
"65",13,5,0.645
"66",14,1,-0.009
"67",14,2,0.408
"68",14,3,0.668
"69",14,4,0.196
"70",14,5,0.898
"71",15,1,0.146
"72",15,2,0.373
"73",15,3,-0.066
"74",15,4,0.939
"75",15,5,0.765
"76",16,1,-0.041
"77",16,2,0.245
"78",16,3,0.486
"79",16,4,0.85
"80",16,5,0.713
"81",17,1,0.632
"82",17,2,0.691
"83",17,3,0.577
"84",17,4,0.998
"85",17,5,1.027
"86",18,1,0.244
"87",18,2,-0.006
"88",18,3,0.309
"89",18,4,0.639
"90",18,5,0.195
"91",19,1,0.409
"92",19,2,0.324
"93",19,3,0.046
"94",19,4,0.42
"95",19,5,0.079
"96",20,1,0.24
"97",20,2,0.374
"98",20,3,0.344
"99",20,4,0.527
"100",20,5,0.667
